condition,burden_level,metric,unit_of_analysis,n_pairs,expected_pairs,healthy_mean,healthy_sample_sd,proxy_mean,proxy_sample_sd,mean_delta_proxy_minus_healthy,delta_sample_sd,delta_se,mean_relative_change,paired_standardized_delta,paired_qc_status,comparison_status
parkin_class_level_exploratory,0.5,body_orientation_variance_rad2,matched_rollout_seed,5,5,0.0003444478965495001,7.356676286862539e-05,0.0003466475039548571,7.549006737709995e-05,2.199607405357012e-06,7.345194460826526e-06,3.284870824472605e-06,0.0056507136601750005,0.2994621064272679,PASS,PASS
parkin_class_level_exploratory,0.5,stride_frequency_hz,matched_rollout_seed,5,5,350.0000000000271,36.50875085358435,349.73333333336046,35.9029556195924,-0.26666666666667427,2.1395742047843065,0.9568466729605529,-0.0006159462295864626,-0.12463539056994628,PASS,PASS
parkin_class_level_exploratory,0.5,step_frequency_hz,matched_rollout_seed,5,5,2100.000000000163,219.05250512150602,2098.4000000001624,215.4177337175544,-1.600000000000091,12.837445228705947,5.741080037763366,-0.0006159462295864903,-0.12463539056994875,PASS,PASS
parkin_class_level_exploratory,0.5,trajectory_curvature_mean_rad_per_mm,matched_rollout_seed,5,5,0.4949297395448019,0.06094774365638904,0.49897667528077144,0.0644763213746047,0.004046935735969548,0.005282541275834219,0.002362424277342756,0.0076383609754582665,0.7660963776057681,PASS,PASS
parkin_class_level_exploratory,0.5,walking_speed_max_mm_s,matched_rollout_seed,5,5,32.55131800969709,6.5015645825924935,32.55131800969709,6.5015645825924935,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,0.75,mean_planar_speed_mm_s,matched_rollout_seed,5,5,1.6999509264454828,0.09949412423034588,1.7021877901305884,0.0842150042081904,0.0022368636851054723,0.01951158479127917,0.008725845988410252,0.0017611688286648208,0.11464284982659395,PASS,PASS
parkin_class_level_exploratory,0.75,distance_traveled_mm,matched_rollout_seed,5,5,1.5260506214081766,0.131488608252267,1.5285525175866705,0.12582001698045156,0.002501896178493812,0.011201934513285978,0.005009657410241694,0.0019215300455917932,0.22334501023251432,PASS,PASS
parkin_class_level_exploratory,0.75,displacement_mm,matched_rollout_seed,5,5,0.8499754632227414,0.04974706211517294,0.8510938950652942,0.0421075021040952,0.0011184318425527362,0.009755792395639585,0.004362922994205126,0.0017611688286648208,0.11464284982659395,PASS,PASS
parkin_class_level_exploratory,0.75,walking_speed_mm_s,matched_rollout_seed,5,5,3.051490944627628,0.2629246315782365,3.056493736426256,0.25158971601771685,0.005002791798628614,0.0223993891487448,0.010017311358212903,0.0019215300455919277,0.22334501023252043,PASS,PASS
parkin_class_level_exploratory,0.75,com_velocity_mean_mm_s,matched_rollout_seed,5,5,3.78573440365305,0.19772842970616583,3.791007731069365,0.20163028991099588,0.0052733274163156985,0.024481647230017018,0.010948525481497495,0.001370976368983053,0.21539920769097826,PASS,PASS
parkin_class_level_exploratory,0.75,heading_variance_rad2,matched_rollout_seed,5,5,0.00038924955476705026,0.00022470115829576156,0.0003963719744821001,0.00022031284176216948,7.122419715049851e-06,1.7707043328135003e-05,7.918830512448795e-06,0.02233945012450025,0.40223653283396693,PASS,PASS
parkin_class_level_exploratory,0.75,body_orientation_variance_rad2,matched_rollout_seed,5,5,0.0003444478965495001,7.356676286862539e-05,0.00034764474848500264,7.560283213795834e-05,3.1968519355025244e-06,7.058245749817002e-06,3.1565434596979577e-06,0.00847432313701933,0.45292443034948293,PASS,PASS
parkin_class_level_exploratory,0.75,stride_frequency_hz,matched_rollout_seed,5,5,350.0000000000271,36.50875085358435,350.5333333333605,34.137467197594596,0.5333333333333826,2.930680618711325,1.310640216755933,0.002170202900416544,0.1819827551075488,PASS,PASS
parkin_class_level_exploratory,0.75,step_frequency_hz,matched_rollout_seed,5,5,2100.000000000163,219.05250512150602,2103.200000000163,204.82480318556756,3.200000000000318,17.584083712267983,7.863841300535612,0.0021702029004165503,0.18198275510754972,PASS,PASS
parkin_class_level_exploratory,0.75,trajectory_curvature_mean_rad_per_mm,matched_rollout_seed,5,5,0.4949297395448019,0.06094774365638904,0.500469398776975,0.06553195052220384,0.0055396592321732,0.005094017306360859,0.0022781137951166505,0.010455889880040576,1.0874833945412536,PASS,PASS
parkin_class_level_exploratory,0.75,walking_speed_max_mm_s,matched_rollout_seed,5,5,32.55131800969709,6.5015645825924935,32.55131800969709,6.5015645825924935,0.0,0.0,0.0,0.0,0.0,PASS,PASS
parkin_class_level_exploratory,1.0,mean_planar_speed_mm_s,matched_rollout_seed,5,5,1.6999509264454828,0.09949412423034588,1.695850914117085,0.09224581117347866,-0.004100012328397895,0.008341492399728975,0.003730428807918367,-0.0022221340838999687,-0.4915202378570901,PASS,PASS
parkin_class_level_exploratory,1.0,distance_traveled_mm,matched_rollout_seed,5,5,1.5260506214081766,0.131488608252267,1.5248042231417358,0.12976930415295324,-0.001246398266440929,0.005062242869046052,0.0022639038347601077,-0.0007412226869820376,-0.24621463226552084,PASS,PASS
parkin_class_level_exploratory,1.0,displacement_mm,matched_rollout_seed,5,5,0.8499754632227414,0.04974706211517294,0.8479254570585425,0.04612290558673933,-0.0020500061641989475,0.004170746199864487,0.0018652144039591834,-0.0022221340838999687,-0.4915202378570901,PASS,PASS
parkin_class_level_exploratory,1.0,walking_speed_mm_s,matched_rollout_seed,5,5,3.051490944627628,0.2629246315782365,3.0489986465543604,0.2594867109637318,-0.0024922980732673848,0.010122461245844214,0.004526902289062974,-0.0007412226869820454,-0.24621463226550758,PASS,PASS
parkin_class_level_exploratory,1.0,com_velocity_mean_mm_s,matched_rollout_seed,5,5,3.78573440365305,0.19772842970616583,3.7838510631361855,0.20373842635357445,-0.0018833405168637185,0.015149498735380506,0.006775061799471582,-0.0005542567486328456,-0.12431701865259209,PASS,PASS
parkin_class_level_exploratory,1.0,heading_variance_rad2,matched_rollout_seed,5,5,0.00038924955476705026,0.00022470115829576156,0.0003943744191921927,0.00022150047840718845,5.124864425142401e-06,1.824209218114714e-05,8.158111633772483e-06,0.015404216662924259,0.280936220157842,PASS,PASS
parkin_class_level_exploratory,1.0,body_orientation_variance_rad2,matched_rollout_seed,5,5,0.0003444478965495001,7.356676286862539e-05,0.00034650282759562067,7.537256109650911e-05,2.054931046120554e-06,7.015685552393339e-06,3.1375099607829335e-06,0.005270423137428146,0.2929052379520534,PASS,PASS
parkin_class_level_exploratory,1.0,stride_frequency_hz,matched_rollout_seed,5,5,350.0000000000271,36.50875085358435,349.66666666669374,35.888716889855495,-0.33333333333334847,2.027587510099539,0.9067647005824221,-0.0008046254748694885,-0.16439898730535402,PASS,PASS
parkin_class_level_exploratory,1.0,step_frequency_hz,matched_rollout_seed,5,5,2100.000000000163,219.05250512150602,2098.000000000163,215.33230133913298,-2.000000000000091,12.165525060597412,5.440588203494612,-0.0008046254748694945,-0.16439898730535163,PASS,PASS
parkin_class_level_exploratory,1.0,trajectory_curvature_mean_rad_per_mm,matched_rollout_seed,5,5,0.4949297395448019,0.06094774365638904,0.49939539017132517,0.06533507365360347,0.004465650626523321,0.006012098042898936,0.0026886919822630933,0.008343042818778009,0.7427774122542514,PASS,PASS
parkin_class_level_exploratory,1.0,walking_speed_max_mm_s,matched_rollout_seed,5,5,32.55131800969709,6.5015645825924935,32.55131800969709,6.5015645825924935,0.0,0.0,0.0,0.0,0.0,PASS,PASS
